Gap,Vl,I_0,delta_V,S(V)
$\Delta = 0.2E_c$,0.48,9.804202441455392e-07,-0.12419990352606697,-6.209995176303348
$\Delta = 0.2E_c$,0.52,0.0007811537587557,-0.05909497791486862,-2.954748895743431
$\Delta = 0.2E_c$,0.56,0.0074068386634403,-0.04449997582078968,-2.224998791039484
$\Delta = 0.2E_c$,0.6,0.0261387774271364,-0.01305476214171819,-0.6527381070859095
$\Delta = 0.2E_c$,0.64,0.0466027079038516,-0.005997292295721879,-0.29986461478609394
$\Delta = 0.2E_c$,0.68,0.0664401551262788,-0.003219490307897366,-0.1609745153948683
$\Delta = 0.2E_c$,0.72,0.0861766535377918,-0.0017056280867350226,-0.08528140433675113
$\Delta = 0.2E_c$,0.76,0.1061081051402519,-0.0009990319677587456,-0.04995159838793728
$\Delta = 0.2E_c$,0.8,0.1263101276033407,-0.00042197638013263816,-0.021098819006631908
$\Delta = 0.2E_c$,0.84,0.1462206610774749,7.284246830341345e-05,0.0036421234151706727
$\Delta = 0.2E_c$,0.88,0.1666828193897222,8.42870773182236e-05,0.00421435386591118
$\Delta = 0.2E_c$,0.92,0.1858752386097781,-0.0004650147497861079,-0.023250737489305395
$\Delta = 0.2E_c$,0.96,0.2069226963553007,-0.0008644177488915661,-0.043220887444578304
$\Delta = 0.2E_c$,1.0,0.2261694144705427,-0.0009545996850922611,-0.047729984254613056
$\Delta = 0.2E_c$,1.04,0.2459434944040465,-0.0007562996360481744,-0.03781498180240872
$\Delta = 0.2E_c$,1.08,0.2669217663062894,-0.00030498416522029004,-0.015249208261014502
$\Delta = 0.2E_c$,1.12,0.2871007135883078,0.0005413510540663857,0.027067552703319286
$\Delta = 0.2E_c$,1.16,0.307578843461467,0.0010241844474887518,0.05120922237443759
$\Delta = 0.2E_c$,1.2,0.3258856415306642,0.0014095236954234647,0.07047618477117323
$\Delta = 0.2E_c$,1.24,0.3465122582222152,0.002499238739623433,0.12496193698117164
$\Delta = 0.2E_c$,1.28,0.3689812976254285,0.003518555782079158,0.1759277891039579
$\Delta = 0.2E_c$,1.32,0.3905766860552946,0.003902284962473468,0.1951142481236734
$\Delta = 0.2E_c$,1.36,0.4088147317927383,0.00272643106634729,0.1363215533173645
$\Delta = 0.2E_c$,1.4,0.4235343229941946,-5.6945918288420216e-05,-0.002847295914421011
$\Delta = 0.2E_c$,1.44,0.4426113980443267,-0.0024579156657102974,-0.12289578328551487
$\Delta = 0.2E_c$,1.48,0.4646564386179323,-0.004186079820207134,-0.20930399101035668
$\Delta = 0.2E_c$,1.52,0.4861348191596077,-0.005404339544444525,-0.27021697722222626
$\Delta = 0.2E_c$,1.56,0.5046226305602812,-0.0062601098628234375,-0.3130054931411719
$\Delta = 0.2E_c$,1.6,0.5218001423247167,-0.005171057163644299,-0.25855285818221496
$\Delta = 0.2E_c$,1.64,0.5437621882136161,-0.0017071987482588646,-0.08535993741294323
$\Delta = 0.2E_c$,1.68,0.567545471937604,0.0005884489799397041,0.029422448996985207
$\Delta = 0.2E_c$,1.72,0.5886221817874159,0.002031667033756346,0.10158335168781729
$\Delta = 0.2E_c$,1.76,0.6075265546169605,0.0019504706160655694,0.09752353080327847
$\Delta = 0.2E_c$,1.8,0.6258031715523397,0.00162991639562593,0.0814958197812965
$\Delta = 0.2E_c$,1.84,0.646450902717752,0.0018994910119571884,0.09497455059785942
$\Delta = 0.2E_c$,1.88,0.6683095587231354,0.002050552793184446,0.10252763965922229
$\Delta = 0.2E_c$,1.92,0.6878992010326754,0.001714937621619006,0.0857468810809503
$\Delta = 0.2E_c$,1.96,0.7065920489185471,-4.1702325141779184e-05,-0.002085116257088959
$\Delta = 0.2E_c$,2.0,0.7238823582502619,-0.0024555066357245803,-0.12277533178622901
$\Delta = 2E_c$,0.0,0.0,0.0,0.0
$\Delta = 2E_c$,0.02,3.62e-102,0.0,0.0
$\Delta = 2E_c$,0.04,3.22e-94,0.0,0.0
$\Delta = 2E_c$,0.06,6.0599999999999994e-89,0.0,0.0
$\Delta = 2E_c$,0.08,3.7000000000000003e-88,0.0,0.0
$\Delta = 2E_c$,0.1,2.26e-87,0.0,0.0
$\Delta = 2E_c$,0.12,2.3499999999999997e-82,0.0,0.0
$\Delta = 2E_c$,0.14,1.95e-74,0.0,0.0
$\Delta = 2E_c$,0.16,1.59e-66,0.0,0.0
$\Delta = 2E_c$,0.18,2.13e-64,0.0,0.0
$\Delta = 2E_c$,0.2,1.29e-63,0.0,0.0
$\Delta = 2E_c$,0.22,2.27e-62,0.0,0.0
$\Delta = 2E_c$,0.24,1.3899999999999998e-54,0.0,0.0
$\Delta = 2E_c$,0.26,8.64e-47,0.0,0.0
$\Delta = 2E_c$,0.28,5.6e-41,0.0,0.0
$\Delta = 2E_c$,0.3,3.16e-40,0.0,0.0
$\Delta = 2E_c$,0.32,1.72e-39,0.0,0.0
$\Delta = 2E_c$,0.34,1.36e-35,0.0,0.0
$\Delta = 2E_c$,0.36,1.0600000000000001e-29,0.0,0.0
$\Delta = 2E_c$,0.38,3.81e-27,0.0,0.0
$\Delta = 2E_c$,0.4,6.67e-27,0.0,0.0
$\Delta = 2E_c$,0.42,8.850000000000001e-27,0.0,0.0
$\Delta = 2E_c$,0.44,8.210000000000001e-26,-0.15996126036755182,-7.99806301837759
$\Delta = 2E_c$,0.46,1.78e-25,-0.17996126036613386,-8.998063018306693
$\Delta = 2E_c$,0.48,6.079999999999999e-23,-0.19996125946976973,-9.998062973488485
$\Delta = 2E_c$,0.5,2.13e-15,-0.19999998404905772,-9.999999202452885
$\Delta = 2E_c$,0.52,1.18e-14,-0.21999978629827355,-10.999989314913677
$\Delta = 2E_c$,0.54,5.84e-14,-0.23999883333172295,-11.999941666586148
$\Delta = 2E_c$,0.56,6.61e-11,-0.2586482875001924,-12.932414375009621
$\Delta = 2E_c$,0.58,7.76e-06,-0.10750769230769225,-5.375384615384612
$\Delta = 2E_c$,0.6,0.00126069,-0.008879545939876166,-0.4439772969938083
$\Delta = 2E_c$,0.62,0.002016452,-0.019673449665103426,-0.9836724832551713
$\Delta = 2E_c$,0.64,0.00265109,-0.02639811487309074,-1.319905743654537
$\Delta = 2E_c$,0.66,0.006974388,-0.0011131679538395334,-0.05565839769197667
$\Delta = 2E_c$,0.68,0.008363078,0.0002918059979403198,0.01459029989701599
$\Delta = 2E_c$,0.7,0.010045191,-0.0007659386625211706,-0.03829693312605853
$\Delta = 2E_c$,0.72,0.012990494,0.00018801836585857767,0.009400918292928884
$\Delta = 2E_c$,0.74,0.013864298,4.0638927298997096e-05,0.002031946364949855
$\Delta = 2E_c$,0.76,0.016665613,-0.0004991154954840926,-0.02495577477420463
$\Delta = 2E_c$,0.78,0.018299424,-0.00011336414858797994,-0.005668207429398997
$\Delta = 2E_c$,0.8,0.019643207,-0.0012084022245074655,-0.060420111225373274
$\Delta = 2E_c$,0.82,0.022417188,-0.0002910221076501962,-0.01455110538250981
$\Delta = 2E_c$,0.84,0.023482787,-0.0004925048036379387,-0.024625240181896935
$\Delta = 2E_c$,0.86,0.025883923,-0.0007227092018246006,-0.03613546009123003
$\Delta = 2E_c$,0.88,0.027711373,-0.0002882377019902682,-0.01441188509951341
$\Delta = 2E_c$,0.9,0.029016458,-0.0011269844898417203,-0.056349224492086014
$\Delta = 2E_c$,0.92,0.031663764,-0.00036635732134238097,-0.01831786606711905
$\Delta = 2E_c$,0.94,0.032895132,-0.00046508249626520115,-0.023254124813260058
$\Delta = 2E_c$,0.96,0.035081291,-0.0007590080209993744,-0.03795040104996872
$\Delta = 2E_c$,0.98,0.037014127,-0.0003094818169708802,-0.015474090848544009
$\Delta = 2E_c$,1.0,0.03834495,-0.0009583698103051708,-0.04791849051525854
$\Delta = 2E_c$,1.02,0.040873113,-0.00039375789677320583,-0.01968789483866029
$\Delta = 2E_c$,1.04,0.042234503,-0.0004180631833790027,-0.020903159168950136
$\Delta = 2E_c$,1.06,0.044287874,-0.0007461002373747583,-0.037305011868737914
$\Delta = 2E_c$,1.08,0.046273823,-0.00031446858926198473,-0.015723429463099237
$\Delta = 2E_c$,1.1,0.047650175,-0.0008159774560676514,-0.04079887280338257
$\Delta = 2E_c$,1.12,0.05007195,-0.000405614143252242,-0.0202807071626121
$\Delta = 2E_c$,1.14,0.05153438,-0.00038409336923028725,-0.019204668461514363
$\Delta = 2E_c$,1.16,0.053501664,-0.0007132760812573746,-0.03566380406286873
$\Delta = 2E_c$,1.18,0.055510419,-0.0003155670817591716,-0.01577835408795858
$\Delta = 2E_c$,1.2,0.056937206,-0.0007046762060320955,-0.03523381030160477
$\Delta = 2E_c$,1.22,0.059266685,-0.00040856861690530266,-0.020428430845265133
$\Delta = 2E_c$,1.24,0.060807712,-0.0003596003563783867,-0.017980017818919336
$\Delta = 2E_c$,1.26,0.062717962,-0.0006717595334708726,-0.03358797667354363
$\Delta = 2E_c$,1.28,0.064731829,-0.00031451497204404433,-0.015725748602202216
$\Delta = 2E_c$,1.3,0.066208012,-0.0006179365364651357,-0.030896826823256784
$\Delta = 2E_c$,1.32,0.06845853,-0.00040540324329696453,-0.020270162164848227
$\Delta = 2E_c$,1.34,0.07006086,-0.00034079536176823133,-0.017039768088411567
$\Delta = 2E_c$,1.36,0.071933023,-0.000627198588913469,-0.03135992944567345
$\Delta = 2E_c$,1.38,0.073941752,-0.0003116909092928388,-0.015584545464641941
$\Delta = 2E_c$,1.4,0.075463822,-0.0005493526516109348,-0.02746763258054674
$\Delta = 2E_c$,1.42,0.077647246,-0.00039788151710173914,-0.019894075855086957
$\Delta = 2E_c$,1.44,0.079297515,-0.0003254109114774195,-0.016270545573870976
$\Delta = 2E_c$,1.46,0.081144297,-0.0005826777617348178,-0.02913388808674089
$\Delta = 2E_c$,1.48,0.083142151,-0.00030734291972733807,-0.015367145986366904
$\Delta = 2E_c$,1.5,0.084705666,-0.0004941266874720629,-0.024706334373603145
$\Delta = 2E_c$,1.52,0.086832283,-0.0003872428370128578,-0.01936214185064289
$\Delta = 2E_c$,1.54,0.088520116,-0.00031208002333937834,-0.015604001166968917
$\Delta = 2E_c$,1.56,0.090350178,-0.0005398580155620003,-0.026992900778100015
$\Delta = 2E_c$,1.58,0.092334205,-0.00030168043304112935,-0.015084021652056467
$\Delta = 2E_c$,1.6,0.093934521,-0.00044881792732409664,-0.022440896366204832
$\Delta = 2E_c$,1.62,0.096013127,-0.0003744569475878645,-0.018722847379393226
$\Delta = 2E_c$,1.64,0.097730433,-0.00030004178658793457,-0.015002089329396728
$\Delta = 2E_c$,1.66,0.099549733,-0.0004996154253829044,-0.02498077126914522
$\Delta = 2E_c$,1.68,0.101518715,-0.00029492670125685905,-0.014746335062842952
$\Delta = 2E_c$,1.7,0.103151336,-0.00041098316445697947,-0.020549158222848973
$\Delta = 2E_c$,1.72,0.105189406,-0.00036027985622122394,-0.018013992811061197
$\Delta = 2E_c$,1.74,0.106929853,-0.00028882804468932655,-0.014441402234466327
$\Delta = 2E_c$,1.76,0.108742497,-0.0004623321637415856,-0.02311660818707928
$\Delta = 2E_c$,1.78,0.110696288,-0.00028730289112766094,-0.014365144556383047
$\Delta = 2E_c$,1.8,0.112357035,-0.0003789065386701207,-0.018945326933506035
$\Delta = 2E_c$,1.82,0.114360901,-0.0003453041977414806,-0.01726520988707403
$\Delta = 2E_c$,1.84,0.116119516,-0.00027820438681835924,-0.013910219340917962
$\Delta = 2E_c$,1.86,0.117928328,-0.00042809393893694647,-0.021404696946847324
$\Delta = 2E_c$,1.88,0.11986743,-0.00027903105107851545,-0.013951552553925772
$\Delta = 2E_c$,1.9,0.121552511,-0.0003513235212215804,-0.01756617606107902
$\Delta = 2E_c$,1.92,0.123527526,-0.00032998955511676087,-0.016499477755838043
$\Delta = 2E_c$,1.94,0.125300397,-0.0002680126449083886,-0.01340063224541943
$\Delta = 2E_c$,1.96,0.127107298,-0.00039685274807399473,-0.019842637403699737
$\Delta = 2E_c$,1.98,0.129032591,-0.0002702976490727149,-0.013514882453635746
$\Delta = 2E_c$,2.0,0.13073862,-0.0003273108557397819,-0.016365542786989096
